Incident Number,Status,DateTime,Priority,Weight,Owner
2500,New,24/01/2023 23:46:30,1,8,DT
2500,In-progress,12/01/2023 10:18:24,1,8,DT
2500,In-progress,07/02/2023 15:46:45,1,8,ACN
2500,Resolved,04/02/2023 06:08:06,1,8,ACN
2500,Resolved,06/02/2023 23:14:39,1,8,ACN
2500,Resolved,14/12/2022 12:23:54,1,8,ACN
2500,Resolved,15/01/2023 16:32:58,1,8,ACN
2500,Resolved,21/01/2023 07:53:27,1,8,ACN
2500,Resolved,14/12/2022 11:24:41,1,8,ACN
2500,Resolved,02/12/2022 06:50:08,1,8,ACN
2500,Resolved,02/02/2023 03:52:49,1,8,ACN
2500,Resolved,25/12/2022 03:08:56,1,8,ACN
2500,Resolved,08/02/2023 00:09:52,1,8,ACN
2500,Resolved,31/01/2023 23:26:48,1,8,ACN
2500,Resolved,22/01/2023 19:11:08,1,8,ACN
2500,Resolved,10/01/2023 18:42:13,1,8,ACN
2500,Resolved,12/01/2023 04:28:46,1,8,ACN
2500,Resolved,14/01/2023 12:25:37,1,8,ACN
2500,Closed,06/02/2023 16:27:39,1,8,ACN
2501,New,07/01/2023 11:29:23,3,3,DT
2501,In-progress,03/01/2023 17:57:03,3,3,DT
2501,In-progress,24/01/2023 21:45:25,3,3,ACN
2501,Resolved,21/12/2022 14:33:10,3,3,ACN
2501,Resolved,04/01/2023 17:31:46,3,3,ACN
2501,Resolved,24/01/2023 09:05:42,3,3,ACN
2501,Resolved,19/01/2023 14:01:46,3,3,ACN
2502,New,24/12/2022 20:28:35,2,5,DT
2502,In-progress,09/12/2022 15:48:56,2,5,DT
2502,In-progress,10/01/2023 14:03:38,2,5,ACN
2502,Resolved,24/02/2023 19:10:47,2,5,ACN
2502,Resolved,15/02/2023 01:18:08,2,5,ACN
2502,Resolved,24/02/2023 14:47:49,2,5,ACN
2502,Closed,04/12/2022 21:19:05,2,5,ACN
2503,New,04/01/2023 13:03:42,1,8,DT
2503,In-progress,22/02/2023 00:57:50,1,8,DT
2503,In-progress,04/02/2023 01:47:01,1,8,ACN
2503,Resolved,29/12/2022 05:33:07,1,8,ACN
2503,Resolved,17/01/2023 21:05:41,1,8,ACN
2503,Resolved,14/01/2023 22:01:03,1,8,ACN
2503,Resolved,02/02/2023 23:31:16,1,8,ACN
2503,Resolved,29/12/2022 10:22:28,1,8,ACN
2503,Resolved,25/01/2023 13:34:25,1,8,ACN
2503,Resolved,24/12/2022 17:17:22,1,8,ACN
2503,Resolved,04/02/2023 22:05:36,1,8,ACN
2503,Resolved,25/12/2022 11:13:31,1,8,ACN
2503,Resolved,12/01/2023 00:47:17,1,8,ACN
2503,Resolved,07/02/2023 18:34:33,1,8,ACN
2504,New,11/02/2023 01:41:22,1,8,DT
2504,In-progress,26/02/2023 14:40:47,1,8,DT
2504,In-progress,02/12/2022 19:20:42,1,8,ACN
2504,Resolved,12/02/2023 09:15:14,1,8,ACN
